货物全称,一级分类,二级分类,三级分类
70克全木浆胶版纸787,轻工、医药产品,纸及制品(十类),纸板（原纸）
78克全木浆胶版纸889,轻工、医药产品,纸及制品(十类),纸板（原纸）
98克全木浆胶版纸787,轻工、医药产品,纸及制品(十类),纸板（原纸）
98克全木浆胶版纸889,轻工、医药产品,纸及制品(十类),纸板（原纸）
120克象牙白道林纸889,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
98克全木浆胶版纸600,轻工、医药产品,纸及制品(十类),纸板（原纸）
70克象牙白道林纸700X980,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克象牙白道林纸680X950,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
热方12T,钢铁,钢 材、合金钢材,管材及附件
58克全木浆胶版纸724,轻工、医药产品,纸及制品(十类),纸板（原纸）
80克胶版印刷纸1130,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
卷板5,钢铁,钢 材、合金钢材,卷材
55克胶版书刊纸870,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
55克胶版书刊纸845,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
52克铜版原纸868,轻工、医药产品,纸及制品(十类),纸板（原纸）
80克象牙白道林纸710X1000,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克胶版印刷纸730,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克胶版印刷纸860,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
55克胶版印刷纸880,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
两票焊管3235吨位不可加减,钢铁,钢 材、合金钢材,管材及附件
两票焊管32到35吨位不可加减,钢铁,钢 材、合金钢材,管材及附件
80克精制轻量涂布纸860,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
卷板3,钢铁,钢 材、合金钢材,卷材
卷板2,钢铁,钢 材、合金钢材,卷材
两票焊管吨位不能加减32T,钢铁,钢 材、合金钢材,管材及附件
60克胶版印刷纸865,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
60克胶版印刷纸955,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
60克胶版印刷纸1055,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
60克胶版印刷纸1235,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
60克胶版印刷纸1305,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
60克胶版印刷纸1405,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
65克全木浆胶版纸1000,轻工、医药产品,纸及制品(十类),纸板（原纸）
78克全木浆胶版纸787,轻工、医药产品,纸及制品(十类),纸板（原纸）
7克全木浆胶版纸889,轻工、医药产品,纸及制品(十类),纸板（原纸）
7克全木浆胶版纸1100,轻工、医药产品,纸及制品(十类),纸板（原纸）
7克全木浆胶版纸787,轻工、医药产品,纸及制品(十类),纸板（原纸）
70克全木浆胶版纸781,轻工、医药产品,纸及制品(十类),纸板（原纸）
58克胶版印刷纸889,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
68克全木浆胶版纸889,轻工、医药产品,纸及制品(十类),纸板（原纸）
68克全木浆胶版纸865,轻工、医药产品,纸及制品(十类),纸板（原纸）
68克全木浆胶版纸990,轻工、医药产品,纸及制品(十类),纸板（原纸）
80克全木浆胶版纸889X1092,轻工、医药产品,纸及制品(十类),纸板（原纸）
110克全木浆胶版纸889X1300,轻工、医药产品,纸及制品(十类),纸板（原纸）
80胶版印刷纸7871092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
68克胶版印刷纸880,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
41克无碳复写原纸1520,轻工、医药产品,纸及制品(十类),其它纸及制品
41克无炭复写原纸1520,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
41克无炭复写原纸1620,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
41克无炭复写原纸1720,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
68克薄本纸880X1190,轻工、医药产品,纸及制品(十类),其它纸及制品
50克无碳复写原纸1090,轻工、医药产品,纸及制品(十类),其它纸及制品
60克全木浆胶版纸746,轻工、医药产品,纸及制品(十类),纸板（原纸）
41克无碳复写纸930,轻工、医药产品,纸及制品(十类),其它纸及制品
70克全木浆胶版纸760X1092,轻工、医药产品,纸及制品(十类),纸板（原纸）
70克全木浆胶版纸850X1092,轻工、医药产品,纸及制品(十类),纸板（原纸）
41克无碳复写原纸1620,轻工、医药产品,纸及制品(十类),其它纸及制品
41克无碳复写原纸1720,轻工、医药产品,纸及制品(十类),其它纸及制品
95克胶板印刷纸787,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
95克胶板印刷纸889,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克胶板印刷纸787,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
60克胶板印刷纸1540,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
60克胶板印刷纸1620,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
60克胶板印刷纸787x1092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
焊管+方矩管,钢铁,钢 材、合金钢材,管材及附件
80克胶板印刷纸880,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
78克全木浆胶版纸720X1000,轻工、医药产品,纸及制品(十类),纸板（原纸）
58克胶版印刷纸1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克胶版印刷纸1092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克胶板印刷纸787X1092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克全木浆复印纸195x270,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
55克胶版印刷纸890,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克全木浆复印纸420x297,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克全木浆复印纸270x195,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
中板15,钢铁,钢 材、合金钢材,板材
中板17,钢铁,钢 材、合金钢材,板材
中板19,钢铁,钢 材、合金钢材,板材
中板21,钢铁,钢 材、合金钢材,板材
中板22,钢铁,钢 材、合金钢材,板材
中板23,钢铁,钢 材、合金钢材,板材
70克胶版印刷纸720x1000,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
78克薄本纸865,轻工、医药产品,纸及制品(十类),其它纸及制品
58克胶版印刷纸880,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
55克胶版印刷纸889,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
55克胶版印刷纸900,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
60克全木浆胶版纸870,轻工、医药产品,纸及制品(十类),纸板（原纸）
58克胶版印刷纸538,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
55克胶版印刷纸1253,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
55克胶版印刷纸1053,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
55克胶版印刷纸1055,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
55克胶版印刷纸993,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
55克胶版印刷纸937,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
55克胶版印刷纸1500,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
55克胶版印刷纸1430,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
95克全木浆胶版纸787,轻工、医药产品,纸及制品(十类),纸板（原纸）
75克全木浆胶版纸440,轻工、医药产品,纸及制品(十类),纸板（原纸）
75克全木浆胶版纸830,轻工、医药产品,纸及制品(十类),纸板（原纸）
68克全木浆胶版纸88+,轻工、医药产品,纸及制品(十类),纸板（原纸）
55克胶印书刊880,轻工、医药产品,文化体育用品,印刷品
冰箱家电,机械设备、电器,电力设备、电器机械及器材,家用电器
58克胶版印刷纸1615,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克胶版印刷纸540,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
64克精制轻量涂布纸787,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
60克全木浆胶版纸900,轻工、医药产品,纸及制品(十类),纸板（原纸）
70克全木浆胶版纸900,轻工、医药产品,纸及制品(十类),纸板（原纸）
60克全木浆胶版纸1030,轻工、医药产品,纸及制品(十类),纸板（原纸）
78克全木浆胶版纸880,轻工、医药产品,纸及制品(十类),纸板（原纸）
100克全木浆胶版纸787X1020,轻工、医药产品,纸及制品(十类),纸板（原纸）
70克全木浆胶版纸850X1192,轻工、医药产品,纸及制品(十类),纸板（原纸）
70克全木浆胶版纸575,轻工、医药产品,纸及制品(十类),纸板（原纸）
64克精制轻量涂布纸765,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
两票黑加焊管42T,钢铁,钢 材、合金钢材,管材及附件
焊管35T,钢铁,钢 材、合金钢材,管材及附件
68克胶版印刷纸660X930,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
两票热方加焊管35T,钢铁,钢 材、合金钢材,管材及附件
60克全木浆胶版纸860,轻工、医药产品,纸及制品(十类),纸板（原纸）
58克全木浆胶版纸840,轻工、医药产品,纸及制品(十类),纸板（原纸）
57克胶版印刷纸787,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
57克胶版印刷纸870,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
57克胶版印刷纸720,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克全木浆胶版纸870x1220,轻工、医药产品,纸及制品(十类),纸板（原纸）
70克胶版印刷纸1725,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克全木浆胶版纸787,轻工、医药产品,纸及制品(十类),纸板（原纸）
黑方陪焊管盖雨布,钢铁,钢 材、合金钢材,管材及附件
焊管加黑方31T焊管加黑方,钢铁,钢 材、合金钢材,管材及附件
两票热方加焊管,钢铁,钢 材、合金钢材,管材及附件
70克全木浆胶版纸650,轻工、医药产品,纸及制品(十类),纸板（原纸）
58克全木浆胶版纸787,轻工、医药产品,纸及制品(十类),纸板（原纸）
7家焊管备注卸货地址,钢铁,钢 材、合金钢材,管材及附件
58克胶板印刷纸889x1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克胶板印刷纸787x1092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
55克胶版印刷纸787X1092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
78克胶板印刷纸880,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克胶板印刷纸889x1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
64克精制轻量涂布纸865,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
60克精制轻量涂布纸1260,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克精制轻量涂布纸1300,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
64克精制轻量涂布纸1300,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
64克精制轻量涂布纸840,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
焊管33T,钢铁,钢 材、合金钢材,管材及附件
64克精制轻量涂布纸1520,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
书本,轻工、医药产品,文化体育用品,印刷品
55克胶版印刷纸889X1194,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
焊管加黑方31t,钢铁,钢 材、合金钢材,管材及附件
60全木浆胶版纸710,轻工、医药产品,纸及制品(十类),纸板（原纸）
70克精制轻量涂布纸860x1116,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克精制轻量涂布纸1240X889,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
70克精制轻量涂布纸889X672,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
80克精制轻量涂布纸765,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
64克精制轻量涂布纸889x1175,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克精制轻量涂布纸1285,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克精制轻量涂布纸625,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克精制轻量涂布纸860,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
焊管31T盖雨布,钢铁,钢 材、合金钢材,管材及附件
焊管加焊管,钢铁,钢 材、合金钢材,管材及附件
58克精制轻量涂布纸1296,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克精制轻量涂布纸1232,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
58克精制轻量涂布纸787,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
教材,轻工、医药产品,文化体育用品,印刷品
55克胶版印刷纸1240,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
55克胶版印刷纸930,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
55克胶版印刷纸787x1092,轻工、医药产品,纸及制品(十类),机制纸（新闻纸）
98克薄本纸787,轻工、医药产品,纸及制品(十类),其它纸及制品
60克全木浆胶版纸897,轻工、医药产品,纸及制品(十类),纸板（原纸）
